,snail_genus,leaf_width,leaf_length,leaf_surface,shell_height,shell_color,shell_radius
0,Lunaspira,18.0,101.0,waxy,-9.089075165169481,dark,-1.0441788939183076
28,Lunaspira,73.0,28.0,hairy,-9.381518808940667,dark,-1.9239795257932317
30,Lunaspira,70.0,23.0,hairy,-0.6198992000237652,dark,-0.3127075363248561
31,Lunaspira,75.0,20.0,hairy,2.7531062069622663,dark,0.4143795830509329
35,Lunaspira,77.0,39.0,waxy,8.767506310804876,dark,1.2717004525380766
36,Lunaspira,71.0,22.0,hairy,0.8437393991951933,dark,0.015115467572567506
39,Lunaspira,73.0,26.0,hairy,-3.0811578727391065,dark,-0.5832224814766421
40,Lunaspira,69.0,32.0,hairy,-0.7317138287761452,dark,-0.0883476818563562
41,Lunaspira,76.0,32.0,hairy,3.959177074031917,dark,0.7484575430448377
42,Lunaspira,77.0,34.0,waxy,6.136304851474259,dark,0.8694789624564188
43,Lunaspira,76.0,33.0,hairy,6.5544638525450125,dark,1.0953471831929067
25,Lunaspira,73.0,19.0,hairy,3.145537063951122,dark,0.18378862665361217
46,Lunaspira,74.0,20.0,hairy,4.546026388313223,dark,0.830952753864329
90,Lunaspira,76.0,19.0,hairy,-9.074808379365395,dark,-1.5637560533992019
157,Lunaspira,67.0,33.0,hairy,9.098285124838636,dark,1.4592377244014842
146,Lunaspira,67.0,22.0,hairy,-7.88089629789695,dark,-1.1647609954265723
87,Lunaspira,11.0,70.0,hairy,1.1113675047081863,dark,0.16778573997664437
148,Lunaspira,69.0,25.0,hairy,9.0373631260542,dark,1.5464575965996386
192,Lunaspira,75.0,35.0,hairy,-4.445326628393888,dark,-0.8358756683395745
191,Lunaspira,78.0,23.0,hairy,-8.690918700046769,dark,-1.4864719449766781
150,Lunaspira,72.0,25.0,hairy,6.838306223737263,dark,1.0004084327424787
154,Lunaspira,74.0,31.0,hairy,-1.2206337354278856,dark,-0.3672133812450851
113,Lunaspira,75.0,26.0,hairy,-18.620231764354802,dark,-3.128527252033016
109,Lunaspira,74.0,33.0,waxy,7.809164240408055,dark,1.1510339862110448
49,Lunaspira,73.0,33.0,hairy,4.128134654687786,dark,0.3196743348132501
333,Lunaspira,12.0,76.0,waxy,-4.797186440033545,dark,-0.8723225140139317
24,Lunaspira,68.0,26.0,hairy,-6.409417952448122,dark,-1.0095899640169128
79,Lunaspira,21.0,86.0,hairy,-6.0568287182552,dark,-1.3244814400707283
96,Lunaspira,75.0,29.0,hairy,6.38532209821217,dark,0.7477572474229797
98,Lunaspira,72.0,19.0,hairy,4.725499325980302,dark,0.42046134815498815
102,Lunaspira,71.0,27.0,hairy,0.47647403338774824,dark,0.053172693011954986
105,Lunaspira,72.0,14.0,hairy,-0.3846467298390992,dark,-0.3083826714268087
108,Lunaspira,76.0,30.0,hairy,8.186473083710533,dark,1.6253496610854816
51,Lunaspira,76.0,28.0,hairy,1.8163610069297007,dark,0.5669383528358423
50,Lunaspira,65.0,25.0,hairy,0.679087081161432,dark,0.11607602146636088
215,Lunaspira,21.0,74.0,hairy,4.916136425184092,dark,0.9704347058431513
112,Lunaspira,70.0,22.0,hairy,6.923937514251183,dark,1.0231465202990588
21,Lunaspira,76.0,37.0,hairy,7.637800220114838,dark,1.226753015363449
4,Lunaspira,74.0,34.0,hairy,1.1273074500773084,dark,0.09177882809539514
5,Lunaspira,70.0,30.0,hairy,-1.2415714916538194,dark,-0.20329317282034146
6,Lunaspira,70.0,30.0,hairy,0.7149972459318599,dark,0.29794974976572863
7,Lunaspira,72.0,28.0,hairy,-11.248236520636977,dark,-1.8763501492613588
8,Lunaspira,72.0,24.0,hairy,-1.6365709013574967,dark,-0.1651315874355183
9,Lunaspira,79.0,28.0,hairy,0.7108181132210589,dark,0.017791729913221612
11,Lunaspira,70.0,29.0,hairy,-3.850642904326183,dark,-0.7842852535425193
12,Lunaspira,73.0,20.0,hairy,-0.8225307418128615,dark,-0.4110101193905168
13,Lunaspira,76.0,31.0,hairy,6.92806893963206,dark,1.0404532840590903
17,Lunaspira,76.0,16.0,hairy,5.082779854719819,dark,0.859448202583677
18,Lunaspira,80.0,21.0,hairy,-11.56305719709633,dark,-1.9909716628107195
19,Lunaspira,74.0,25.0,hairy,3.7111108141365645,dark,0.2902663856671962
158,Lunaspira,74.0,36.0,hairy,10.01810303189637,dark,1.370767778075499
200,Lunaspira,72.0,27.0,hairy,-6.650548041145908,yellow,-1.3402319797262598
278,Lunaspira,81.0,23.0,hairy,1.7017688755190303,dark,0.2806787232039068
163,Lunaspira,73.0,23.0,hairy,-2.044833245785809,dark,-0.6043278481792965
126,Lunaspira,67.0,27.0,hairy,0.8398863577164513,dark,-0.03622955427495677
131,Lunaspira,71.0,30.0,hairy,7.80863548031026,dark,1.2480129037801513
132,Lunaspira,71.0,31.0,hairy,9.41606386559688,dark,1.2953491346158774
238,Lunaspira,43.0,119.0,smooth,5.210387041368508,dark,0.8186072116624946
133,Lunaspira,68.0,15.0,hairy,3.2286777573114778,dark,0.55370027935324
